Aggregate,Total Vol Allocated (GB),Total Vol Used (GB),Total Vol Avail (GB),Aggr Size (GB),Aggr Used (GB),Aggr Avail (GB),% Logically Alloc,% Logically Used,Aggr % Used,Total Efficiency,Data Reduction (w/o Snaps)
emclus0014c01_aggr1_val,206298.19,119968.04,86330.15,149094.40,57200.64,91863.04,138.37%,80.46%,38.00%,6.94:1,1.46:1
emclus0014c01_aggr2_val,227051.81,114330.27,112721.54,180121.60,51752.96,128307.20,126.05%,63.47%,29.00%,9.20:1,1.70:1
emclus0014c01_aggr0_root,348.60,74.60,274.00,368.40,350.90,17.54,94.63%,20.25%,95.00%,1.00:1,1.00:1
emclus0014c02_aggr2_val,252469.30,201159.15,51310.15,180121.60,81879.04,98211.84,140.17%,111.68%,45.00%,6.19:1,1.00:1
emclus0014c02_aggr1_val,172047.07,110518.25,61528.82,149094.40,38103.04,111001.60,115.39%,74.13%,26.00%,9.03:1,1.96:1
emclus0014c02_aggr0_root,348.60,69.20,279.40,368.40,350.90,17.53,94.63%,18.78%,95.00%,1.00:1,1.00:1
emclus0014n03_aggr1_cap,178490.33,26875.42,151614.91,346009.60,103731.20,242380.80,51.59%,7.77%,30.00%,31.20:1,1.63:1
emclus0014n03_aggr2_cap,225018.36,27468.70,197549.66,181657.60,92303.36,89354.24,123.87%,15.12%,51.00%,18.25:1,1.41:1
emclus0014n03_aggr0_root,7362.56,399.36,6963.20,7782.40,7403.52,377.30,94.61%,5.13%,95.00%,1.00:1,1.00:1
emclus0014n04_aggr1_cap,226220.21,27341.71,198878.50,346009.60,178176.00,167833.60,65.38%,7.90%,51.00%,32.94:1,1.70:1
emclus0014n04_aggr2_cap,314580.78,113023.73,201557.04,181657.60,114688.00,66979.84,173.17%,62.22%,63.00%,2.90:1,1.28:1
emclus0014n04_aggr0_root,7362.56,501.76,6860.80,7782.40,7403.52,376.90,94.61%,6.45%,95.00%,1.00:1,1.00:1
Total Aggregates,12,,,,,,,,,,
