Aggregate,Total Vol Allocated (GB),Total Vol Used (GB),Total Vol Avail (GB),Aggr Size (GB),Aggr Used (GB),Aggr Avail (GB),% Logically Alloc,% Logically Used,Aggr % Used,Total Efficiency,Data Reduction (w/o Snaps)
emclus0013c01_aggr1_val,556698.31,337527.18,219171.13,292249.60,159232.00,132915.20,190.49%,115.49%,55.00%,13.80:1,1.61:1
emclus0013c01_aggr2_val,230679.20,142184.61,88494.59,74301.44,55070.72,19230.72,310.46%,191.36%,74.00%,14.21:1,2.25:1
emclus0013c01_aggr0_root,348.60,193.80,154.80,368.40,350.60,17.85,94.63%,52.61%,95.00%,1.00:1,1.00:1
emclus0013c02_aggr1_val,536077.04,333029.08,203047.96,292249.60,163942.40,128307.20,183.43%,113.95%,56.00%,12.67:1,1.73:1
emclus0013c02_aggr2_val,208168.81,127742.15,80426.66,74301.44,41543.68,32757.76,280.17%,171.92%,56.00%,5.55:1,1.98:1
emclus0013c02_aggr0_root,348.60,185.70,162.90,368.40,350.60,17.85,94.63%,50.41%,95.00%,1.00:1,1.00:1
emclus0013c03_aggr1_val,526424.22,277474.17,248950.04,220876.80,152678.40,68157.44,238.33%,125.62%,69.00%,5.46:1,1.87:1
emclus0013c03_aggr2_val,390013.35,181559.97,208453.38,145612.80,88606.72,57047.04,267.84%,124.69%,61.00%,8.51:1,2.36:1
emclus0013c03_aggr0_root,348.60,241.30,107.30,368.40,350.60,17.85,94.63%,65.50%,95.00%,1.00:1,1.00:1
emclus0013c04_aggr2_val,495413.74,237344.20,258069.55,288358.40,149708.80,138649.60,171.80%,82.31%,52.00%,22.12:1,1.77:1
emclus0013c04_aggr1_val,439295.12,224223.56,215071.56,220876.80,128716.80,92098.56,198.89%,101.52%,58.00%,14.48:1,1.76:1
emclus0013c04_aggr0_root,348.60,210.90,137.70,368.40,350.60,17.85,94.63%,57.25%,95.00%,1.00:1,1.00:1
emclus0013n05_aggr1_cap,167295.12,52964.57,114330.55,380620.80,55162.88,325427.20,43.95%,13.92%,14.00%,23.23:1,1.19:1
emclus0013n05_aggr2_cap,125555.55,25720.53,99835.02,147046.40,26449.92,120627.20,85.38%,17.49%,18.00%,26.05:1,1.31:1
emclus0013n05_aggr0_root,7362.56,440.32,6922.24,7782.40,7403.52,377.30,94.61%,5.66%,95.00%,1.00:1,1.00:1
emclus0013n06_aggr1_cap,174750.68,16040.13,158710.55,380620.80,18053.12,362598.40,45.91%,4.21%,5.00%,20.63:1,1.45:1
emclus0013n06_aggr2_cap,115449.60,10777.03,104672.57,147046.40,11868.16,135168.00,78.51%,7.33%,8.00%,25.01:1,1.65:1
emclus0013n06_aggr0_root,7362.56,419.84,6942.72,7782.40,7403.52,377.40,94.61%,5.39%,95.00%,1.00:1,1.00:1
emclus0013n07_aggr2_cap,164152.96,37251.68,126901.28,129740.80,38144.00,91607.04,126.52%,28.71%,29.00%,26.60:1,1.43:1
emclus0013n07_aggr1_cap,284806.25,65318.73,219487.52,259481.60,67266.56,192204.80,109.76%,25.17%,26.00%,20.37:1,1.18:1
emclus0013n07_aggr0_root,7362.56,501.76,6860.80,7782.40,7403.52,377.40,94.61%,6.45%,95.00%,1.00:1,1.00:1
emclus0013n08_aggr1_cap,105.00,0.00,105.00,259481.60,69.55,259481.60,0.04%,0.00%,0.00%,1.00:1,1.00:1
emclus0013n08_aggr0_root,7362.56,430.08,6932.48,7782.40,7403.52,377.40,94.61%,5.53%,95.00%,1.00:1,1.00:1
Total Aggregates,23,,,,,,,,,,
